feature,mean_abs_shap
morgan_bit_1954,0.0
morgan_bit_1953,0.0
morgan_bit_1952,0.0
morgan_bit_1949,0.0
morgan_bit_1947,0.0
morgan_bit_1945,0.0
morgan_bit_1944,0.0
morgan_bit_1943,0.0
morgan_bit_1942,0.0
morgan_bit_1941,0.0
morgan_bit_1970,0.0
morgan_bit_1972,0.0
morgan_bit_1999,0.0
morgan_bit_1986,0.0
morgan_bit_16,0.0
morgan_bit_1996,0.0
morgan_bit_1995,0.0
morgan_bit_1994,0.0
morgan_bit_1993,0.0
morgan_bit_1992,0.0
morgan_bit_17,0.0
morgan_bit_1990,0.0
morgan_bit_1989,0.0
morgan_bit_1988,0.0
morgan_bit_1987,0.0
morgan_bit_18,0.0
morgan_bit_1973,0.0
morgan_bit_1984,0.0
morgan_bit_1983,0.0
morgan_bit_1982,0.0
morgan_bit_1981,0.0
morgan_bit_19,0.0
morgan_bit_1979,0.0
morgan_bit_1978,0.0
morgan_bit_1977,0.0
morgan_bit_1976,0.0
morgan_bit_1975,0.0
morgan_bit_1974,0.0
morgan_bit_1820,0.0
morgan_bit_32,0.0
morgan_bit_1818,0.0
morgan_bit_1655,0.0
morgan_bit_1667,0.0
morgan_bit_1666,0.0
morgan_bit_48,0.0
morgan_bit_1663,0.0
morgan_bit_1662,0.0
morgan_bit_1661,0.0
morgan_bit_1660,0.0
morgan_bit_1659,0.0
morgan_bit_1658,0.0
morgan_bit_1657,0.0
morgan_bit_1656,0.0
morgan_bit_1654,0.0
morgan_bit_1669,0.0
morgan_bit_1653,0.0
